ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,10,7,6,4
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,5,2,4,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,6,4,2,4
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,4,5,3,1
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,1,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,11,11,7,4
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,3,4,1,2
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,8,1,4,4
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,11,2,5,6
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,154,72,82,72
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,5,2,5,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,18,6,10,8
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,14,5,4,10
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,4,0,2,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,5,2,1,4
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,1,0,0,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Communalism,2,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,2,2,1,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,2,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,2,0,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,2,1,1,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0,1,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Revenge/Enemity,30,16,15,15
