ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,Murder (Sec.302/303 IPC),For gain,6,4,3,6
A - IPC Crime,Murder (Sec.302/303 IPC),Over Property Dispute,4,2,5,4
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Personal Vendetta or enemity,2,1,2,2
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Sexual jealousy,3,2,2,3
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by burning,0,1,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For dowry by other means,0,1,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Terrorism/Naxalism / Extremism,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),For Political Reasons,0,3,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Adultery,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Civil Disputes,7,6,1,7
A - IPC Crime,Murder (Sec.302/303 IPC),Electoral Gain,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Love Intrigue,1,2,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Professional ,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Psychopathic/Serial Killer/Lunacy,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Rape with Murder,1,0,0,1
A - IPC Crime,Murder (Sec.302/303 IPC),Revenge/Enemity,4,4,4,4
A - IPC Crime,Murder (Sec.302/303 IPC),Sudden Quarrel,5,8,6,5
A - IPC Crime,Murder (Sec.302/303 IPC),Village Dispute,0,0,0,0
A - IPC Crime,Murder (Sec.302/303 IPC),Custodial,0,0,1,0
A - IPC Crime,Murder (Sec.302/303 IPC),Due to Other Causes,84,85,76,84
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Gain ,5,2,1,5
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Over Property Dispute,10,6,8,10
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Personal Vendetta or enemity,4,6,4,4
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Due to Sexual jealousy,2,3,0,2
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Dowry other Means,1,6,2,1
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Dowry By Burning,0,0,0,0
